Wavelength (Å),Sum,He I (9.8e-01),He II (2.2e-04),Ne I (9.9e-03),Ne II (1.1e-04),Ne III (3.7e-15),Ar I (2.8e-03),Ar II (7.2e-03),Ar III (7.6e-08)
2000,1.535e-27,,,,,1.535e-27,,,
2001.9,1.644e-27,,,,,1.644e-27,,,
2003.8,1.569e-27,,,,,1.569e-27,,,
2005.8,1.324e-27,,,,,1.324e-27,,,
2007.7,1.017e-27,,,,,1.017e-27,,,
2009.6,7.174e-28,,,,,7.174e-28,,,
2011.5,4.772e-28,,,,,4.772e-28,,,
2013.5,3.011e-28,,,,,3.011e-28,,,
2015.4,1.930e-28,,,,,1.930e-28,,,
2017.3,1.226e-28,,,,,1.226e-28,,,
2019.2,7.543e-29,,,,,7.543e-29,,,
2021.2,4.233e-29,,,,,4.233e-29,,,
2023.1,2.238e-29,,,,,2.238e-29,,,
2025,1.070e-29,,,,,1.070e-29,,,
2026.9,4.633e-30,,,,,4.633e-30,,,
2028.8,2.059e-30,,,,,2.059e-30,,,
2030.8,2.022e-30,,,,,2.022e-30,,,
2032.7,5.761e-30,,,,,5.761e-30,,,
2034.6,1.949e-29,,,,,1.949e-29,,,
2036.5,6.267e-29,,,,,6.267e-29,,,
2038.5,2.040e-28,,,,,2.040e-28,,,
2040.4,6.173e-28,,,,,6.173e-28,,,
2042.3,1.886e-27,,,,,1.886e-27,,,
2044.2,5.806e-27,,,,,5.806e-27,,,
2046.2,1.859e-26,,,,,1.859e-26,,,
2048.1,5.326e-26,,,,,5.326e-26,,,
2050,1.412e-25,,,,,1.412e-25,,,
2051.9,3.406e-25,,,,,3.406e-25,,,
2053.8,7.410e-25,,,,,7.410e-25,,,
2055.8,1.494e-24,,,,,1.494e-24,,,
2057.7,2.594e-24,,,,,2.594e-24,,,
2059.6,4.026e-24,,,,,4.026e-24,,,
2061.5,5.579e-24,,,,,5.579e-24,,,
2063.5,6.956e-24,,,,,6.956e-24,,,
2065.4,7.633e-24,,,,,7.633e-24,,,
2067.3,7.475e-24,,,,,7.475e-24,,,
2069.2,6.537e-24,,,,,6.537e-24,,,
2071.2,5.029e-24,,,,,5.029e-24,,,
2073.1,3.505e-24,,,,,3.505e-24,,,
2075,2.209e-24,,,,,2.209e-24,,,
2076.9,1.285e-24,,,,,1.285e-24,,,
2078.8,7.272e-25,,,,,7.272e-25,,,
2080.8,4.386e-25,,,,,4.386e-25,,,
2082.7,3.415e-25,,,,,3.415e-25,,,
2084.6,3.366e-25,,,,,3.366e-25,,,
2086.5,3.735e-25,,,,,3.735e-25,,,
2088.5,4.246e-25,,,,,4.246e-25,,,
2090.4,4.653e-25,,,,,4.653e-25,,,
2092.3,4.860e-25,,,,,4.860e-25,,,
2094.2,4.801e-25,,,,,4.801e-25,,,
2096.2,4.435e-25,,,,,4.435e-25,,,
2098.1,3.842e-25,,,,,3.842e-25,,,
2100,3.098e-25,,,,,3.098e-25,,,
2101.9,2.314e-25,,,,,2.314e-25,,,
2103.8,1.593e-25,,,,,1.593e-25,,,
