Intensity,Wavelength(Ams),Spectrum,Reference
30,171.575,Li II,R37
300   P,178.014,Li II,R37
1000   P,199.280,Li II,R37
15   c,231.4541,He II,GM65
20   c,232.5842,He II,GM65
30   c,234.3472,He II,GM65
50   c,237.3307,He II,GM65
100   c,243.0266,He II,GM65
300   P,256.3166,He II,MK00b
150   P,256.3177,He II,MK00b
90   P,300.15,Na II,W71
90,300.20,Na II,W71
50,301.32,Na II,W71
60,301.44,Na II,W71
30,302.45,Na II,W71
1000   P,303.7804,He II,MK00b
500   P,303.7858,He II,MK00b
10,320.293,He I,TW71
90   P,352.9549,Ne II,P71
60   P,354.9620,Ne II,P71
90,361.4321,Ne II,P71
60,362.4544,Ne II,P71
150   P,372.08,Na II,W71
200,376.38,Na II,W71
150,405.8538,Ne II,P71
120,407.1377,Ne II,P71
400   P,429.918,O  II,MKM93
700   P,430.041,O  II,MKM93
1000   P,430.177,O  II,MKM93
800,441.81,K  II,E31
200   P,445.0393,Ne II,P71
300   P,446.2552,Ne II,P71
250   P,446.5902,Ne II,P71
200,447.8146,Ne II,P71
150,454.6540,Ne II,P71
200,455.2730,Ne II,P71
10,456.2728,Ne II,P71
120,456.3485,Ne II,P71
90,456.8962,Ne II,P71
1000   P,460.7284,Ne II,P71
500   P,462.3908,Ne II,P71
150,465.08,K  II,E31
,469.50,K  II,E31
300,476.03,K  II,E31
900   P,484.602,F  II,P69
10,487.2272,Ar II,M71
15,490.6495,Ar II,M71
10,490.7013,Ar II,M71
1000,495.14,K  II,E31
2,505.50035,He I,M02
3,505.68433,He I,M02
4,505.91252,He I,M02
5,506.20034,He I,M02
7,506.57057,He I,M02
10,507.05802,He I,M02
15,507.71809,He I,M02
20,508.64338,He I,M02
25,509.99829,He I,M02
35,512.09856,He I,M02
2,513.266,Rb II,R75
50,515.61684,He I,M02
10,519.3270,Ar II,M71
100   P,522.21309,He I,M02
3,530.173,Rb II,R75
400   P,537.02992,He I,M02
800   P,537.8319,O  II,MKM93
1000   P,538.2636,O  II,MKM93
600   P,538.318,O  II,MKM93
800   P,539.0855,O  II,MKM93
700   P,539.5489,O  II,MKM93
500   P,539.8544,O  II,MKM93
10,542.9124,Ar II,M71
70,543.2033,Ar II,M71
25,547.4606,Ar II,M71
25,556.8170,Ar II,M71
25,573.3619,Ar II,M71
10,576.7364,Ar II,M71
25,580.2632,Ar II,M71
10,583.4371,Ar II,M71
1000   P,584.33436,He I,M02
30,587.1792,Ne I,SS04
30,587.2127,Ne I,SS04
30   P,589.419,Rb II,R75
30,589.9114,Ne I,SS04
50,591.41207,He I,M02
70,591.8306,Ne I,SS04
100,595.9200,Ne I,SS04
25,597.7001,Ar II,M71
70,598.7056,Ne I,SS04
30,598.8897,Ne I,SS04
70,600.0365,Ne I,SS04
1000   P,600.77,K  II,E31
130,602.7263,Ne I,SS04
10,602.8584,Ar II,M71
900   P,605.669,F  II,P69
800   P,606.288,F  II,P69
1000   P,606.804,F  II,P69
700   P,606.923,F  II,P69
800   P,607.472,F  II,P69
800   P,607.93,K  II,E31
900   P,608.062,F  II,P69
10,612.3716,Ar II,M71
1000   P,612.62,K  II,E31
170   P,615.6283,Ne I,SS04
170   P,618.6716,Ne I,SS04
130   P,619.1023,Ne I,SS04
200   P,626.8232,Ne I,SS04
200   P,629.7388,Ne I,SS04
20,639.36,Cs II,RE75
15,643.878,Rb II,R75
200   P,644.635,N  II,E83
600   P,644.837,N  II,E83
1000   P,645.179,N  II,E83
150   P,661.8690,Ar II,M71
10,664.5623,Ar II,M71
70,666.0109,Ar II,M71
300   P,670.9455,Ar II,M71
1000   P,671.8513,Ar II,M71
25,676.2425,Ar II,M71
10,677.9518,Ar II,M71
10,679.2184,Ar II,M71
70,679.4006,Ar II,M71
600   P,687.0526,C  II,KE74
1000   P,687.346,C  II,KE74
80,692.70,N  I,M75a
180,693.947,B  II,O70
500   r,696.30,Tl II,ES36
30   P,697.049,Rb II,R75
70   P,711.187,Rb II,R75
70,718.0899,Ar II,M71
150,718.14,Cs II,RE75
800   P,718.5036,O  II,MKM93
500   P,718.5663,O  II,MKM93
1000   P,723.3606,Ar II,M71
150,725.5485,Ar II,M71
20,729.40,Kr II,MSP69
25,730.9297,Ar II,M71
1000   P,735.8962,Ne I,SS04
70,740.2692,Ar II,M71
120,740.41,Xe II,B36
110   P,741.456,Rb II,R75
400   P,743.7195,Ne I,SS04
70,744.9248,Ar II,M71
25,745.3223,Ar II,M71
70,761.18,Kr II,MSP69
30,763.98,Kr II,MSP69
20,766.20,Kr II,MSP69
70,771.03,Kr II,MSP69
20,773.69,Kr II,MSP69
200   P,775.967,N  II,E83
70,782.10,Kr II,MSP69
30,783.72,Kr II,MSP69
600,787.580,Cl II,RK74
600,788.740,Cl II,RK74
600,793.342,Cl II,RK74
250,796.664,O  II,MKM93
250,796.682,O  II,MKM93
40,802.28,Te II,HM64
20,802.85896,Ar I,M73
120,803.07,Xe II,B36
100,806.4710,Ar I,M73
60,806.86887,Ar I,M73
30,807.21842,Ar I,M73
40,807.6529,Ar I,M73
150   P,808.76,Cs II,RE75
50,809.92660,Ar I,M73
150   P,813.84,Cs II,RE75
120,816.23193,Ar I,M73
70,816.46391,Ar I,M73
300   r,817.18,Tl II,ES36
20,818.15,Kr II,MSP69
80,820.12352,Ar I,M73
120,825.34592,Ar I,M73
