Wavelength (Å),Sum,He I (9.8e-01),He II (2.2e-04),Ne I (9.9e-03),Ne II (1.1e-04),Ne III (3.7e-15),Ar I (2.8e-03),Ar II (7.2e-03),Ar III (7.6e-08)
2000,7.973e-28,,,,,7.973e-28,,,
2005,1.251e-27,,,,,1.251e-27,,,
2010,2.887e-27,,,,,2.887e-27,,,
2015,8.407e-27,,,,,8.407e-27,,,
2020,2.466e-26,,,,,2.466e-26,,,
2025,6.646e-26,,,,,6.646e-26,,,
2030,1.606e-25,,,,,1.606e-25,,,
2035,3.459e-25,,,,,3.459e-25,,,
2040,6.633e-25,,,,,6.633e-25,,,
2045,1.132e-24,,,,,1.132e-24,,,
2050,1.720e-24,,,,,1.720e-24,,,
2055,2.328e-24,,,,,2.328e-24,,,
2060,2.808e-24,,,,,2.808e-24,,,
2065,3.023e-24,,,,,3.023e-24,,,
2070,2.912e-24,,,,,2.912e-24,,,
2075,2.521e-24,,,,,2.521e-24,,,
2080,1.977e-24,,,,,1.977e-24,,,
2085,1.421e-24,,,,,1.421e-24,,,
2090,9.565e-25,,,,,9.565e-25,,,
2095,6.207e-25,,,,,6.207e-25,,,
2100,4.108e-25,,,,,4.108e-25,,,
2105,3.219e-25,,,,,3.219e-25,,,
2110,1.172e-24,,,,,3.970e-25,,,7.747e-25
2115,1.136e-23,,,,,7.870e-25,,,1.057e-23
2120,1.288e-22,,,,,1.825e-24,,,1.270e-22
2125,1.385e-21,,,,,4.094e-24,,,1.381e-21
2130,1.362e-20,,,,,8.415e-24,,,1.361e-20
2135,1.215e-19,,,,,1.565e-23,,,1.215e-19
2140,9.828e-19,,,,,2.626e-23,,,9.828e-19
2145,7.201e-18,,,,,3.975e-23,,,7.201e-18
2150,4.781e-17,,,,,5.431e-23,,,4.781e-17
2155,2.876e-16,,,,,6.704e-23,,,2.876e-16
2160,1.568e-15,,,,,7.486e-23,,,1.568e-15
2165,7.750e-15,,,,,7.580e-23,,,7.750e-15
2170,3.472e-14,,,,,6.979e-23,,,3.472e-14
2175,1.410e-13,,,,,5.865e-23,,,1.410e-13
2180,5.193e-13,,,,,4.519e-23,,6.201e-18,5.193e-13
