Wavelength  Intensity Material
4439.4614   3         ArII
3679.9132   171       FeI
6005.7242   404       ArI
5928.8130   30        ArI
6081.2433   94        ArI
8521.4422   40        ArI
4222.6373   397       FeI
7383.9805   54        ArI
6127.4160   260       ArI
7316.0050   804       ArI
3350.9243   34        ArII
10470.0535  561       ArI
6677.2817   108       ArI
7425.2942   957       ArI
6411.6468   38        ArI
3388.5309   13        ArII
3729.3087   14        ArII
6252.5537   391       FeI
3427.1192   137       FeI
6090.7848   498       ArI
4198.3036   89        FeI
4502.9268   43        ArII
7891.0750   657       ArI
6483.0825   84        ArII
4200.6745   27        ArI
9017.5912   63        ArII
3709.2459   215       FeI
3812.9641   167       FeI
3946.0971   31        ArII
5125.7654   10        ArII
6871.2891   803       ArI
3548.5144   5         ArII
4348.0640   16        ArII
3535.3196   139       ArII
5586.7553   260       FeI
5397.1269   96        FeI
3948.9789   854       ArI
8143.5050   152       ArI
6230.7260   8         ArII
6155.2385   992       ArI
6165.1232   29        ArI
3824.4436   20        FeI
6604.8534   451       ArI
4965.0795   115       ArII
6643.6976   34        ArII
4158.5905   443       ArI
6369.5748   488       ArI
4271.7593   307       FeI
3618.7676   74        FeI
8490.3065   895       ArI
4474.7594   21        ArII
7503.8691   585       ArI
5341.0233   38        FeI
7107.4778   828       ArI
6246.3172   540       ArI
3886.2820   33        FeI
3767.1914   186       FeI
5648.6863   925       ArI
4889.0422   13        ArII
5783.5360   130       ArI
7798.5604   691       ArI
6043.2233   325       ArI
7206.9804   79        ArI
4609.5673   12        ArII
5455.6090   113       FeI
3749.4847   29        FeI
4164.1795   664       ArI
5786.5553   142       ArII
6416.3071   54        ArII
3561.0304   112       ArII
3559.5081   5         ArII
5051.6336   355       FeI
3376.4359   3         ArII
9122.9674   313       ArI
3480.5055   103       ArII
4063.5939   398       FeI
7948.1964   764       ArI
6307.6570   3         ArII
4806.0205   13        ArII
5451.6520   59        ArI
7635.1060   678       ArI
4510.7332   28        ArI
6114.9234   91        ArII
3902.9452   42        FeI
4891.4919   8         FeI
6664.0510   633       ArI
8046.1169   136       ArI
6466.5526   62        ArII
3465.8603   157       FeI
5739.5196   54        ArI
5017.1628   7         ArII
5283.6206   25        FeI
7589.3151   132       ArII
7372.1184   435       ArI
5167.4873   105       FeI
4933.2091   13        ArII
9291.5313   104       ArI
4375.9294   313       FeI
5912.0853   755       ArI
3718.2065   4         ArII
6403.0128   13        FeI
4448.8792   132       ArII
4362.0662   10        ArII
6656.9386   117       ArI
3895.6558   6         FeI
7868.1946   111       ArI
3404.3535   6         FeI
3687.4564   307       FeI
5371.4892   347       FeI
3922.9115   316       FeI
6937.6642   727       ArI
4764.8646   6         ArII
5434.5228   378       FeI
7030.2514   44        ArI
4461.6521   318       FeI
3906.4794   29        FeI
7067.2181   138       ArI
4579.3495   53        ArII
4131.7235   4         ArII
6248.4055   168       FeI
4522.3230   618       ArI
3059.0856   201       FeI
3763.7885   356       FeI
6639.7403   5         ArII
4489.7389   318       FeI
4005.2414   145       FeI
3047.6043   32        FeI
3825.8805   74        FeI
5681.9001   360       ArI
5227.1697   82        FeI
7435.3683   691       ArI
4335.3379   256       ArI
4045.8130   81        FeI
5429.6955   291       FeI
5834.2633   600       ArI
4490.9816   136       ArII
7125.8200   669       ArI
4433.8380   22        ArII
3225.7850   327       FeI
4481.8107   4         ArII
3920.2577   360       FeI
4545.0519   42        ArII
8103.6931   21        ArI
4859.7406   157       FeI
5514.3760   209       ArI
4042.8937   59        ArII
5328.0376   45        FeI
6965.4307   51        ArI
6638.2207   112       ArII
3878.5730   255       FeI
5012.0674   30        FeI
4352.2049   45        ArII
6123.3619   4         ArII
5964.4723   503       ArI
8799.0875   238       ArI
3407.4585   27        FeI
4385.0566   63        ArII
3243.6887   5         ArII
7392.9801   879       ArI
3868.5284   111       ArII
7353.2930   214       ArI
5083.3377   108       FeI
6243.1201   290       FeI
3037.3887   44        FeI
9508.4513   20        ArI
8006.1567   85        ArI
8667.9442   934       ArI
4596.0967   786       ArI
9784.5028   341       ArI
6620.9665   43        ArII
9194.6385   196       ArI
3413.1312   187       FeI
